0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0.9311,0.8967,0.9487,0.4672,0.9638,0.9487,0.4472,0.4971,0.9413,0.5034,0.0,0.9487,0.9513,0.9513,0.9487,0.9659,0.9311,0.5109,0.9311,0.9311,0.9284,0.9659,0.9487,0.916,0.5054,0.9354,0.9127,0.9061,0.6325,0.9127,0.945,0.9061,0.0,0.9659,0.9487,0.9659,0.9311,0.9349,0.9311,0.916,0.5335,0.5236,0.9487,0.9311,0.4656,0.9487,0.9311,0.9747,0.9311,0.9487,0.9257,0.9311,0.9747,0.556,0.3559,0.9576,0.0,0.4971,0.9311,0.6162,0.9354,0.9257,0.9407,0.5034,0.9487,0.6325,0.9503,0.9127,0.9659,0.5034,0.9487,0.9487,0.9487,0.9545,0.0,0.916,0.5236,0.9659,0.9487,0.9311,0.9726,0.8967,0.9397,0.458,0.9311,0.9487,0.9513,0.9127,0.9487,0.882,0.6218,0.9386,0.5749,0.5289,0.9257,0.9513,0.9434,0.9203,0.5346,0.8994,0.9487,0.8967,0.9127,0.9576,0.9127,0.9576,0.9487,0.4971,0.4971,0.9487,0.5236,0.9127,0.9513,0.8967,0.5034,0.9487,0.9311,0.4472,0.9311,0.9311,0.9257,0.9487,0.9127
0.5251,0.5408,0.461,0.5044,0.453,0.9487,0.9386,0.9386,0.0,0.9257,0.9487,0.0,0.5386,0.0,0.461,0.9638,0.5251,0.9386,0.9386,0.4656,0.4674,0.9638,0.9487,0.5367,0.9257,0.4733,0.5484,0.5276,0.9257,0.4629,0.339,0.5495,0.9386,0.9638,0.509,0.458,0.5251,0.3814,0.5324,0.3137,0.5566,0.9257,0.9487,0.9386,0.945,0.595,0.6314,0.9659,0.5251,0.595,0.319,0.4656,0.9659,0.9386,0.9127,0.9487,0.461,0.9386,0.9386,0.9257,0.0,0.3049,0.7391,0.9257,0.9487,0.5401,0.9545,0.5254,0.9638,0.9257,0.9487,0.595,0.4941,0.0,0.0,0.5564,0.9257,0.9638,0.9487,0.5251,0.4701,0.4754,0.9434,0.9252,0.9386,0.9487,0.9545,0.6462,0.9513,0.5464,0.5592,0.945,0.9257,0.9279,0.9354,0.5194,0.7596,0.5339,0.7469,0.6716,0.9487,0.6519,0.9257,0.9487,0.9257,0.9487,0.9487,0.4656,0.4656,0.9487,0.9257,0.5484,0.0,0.9127,0.5484,0.461,0.9386,0.5251,0.5251,0.9386,0.5314,0.461,0.9257
0.349,0.9252,0.5446,0.7759,0.9649,0.9513,0.0,0.0,0.614,0.4661,0.9513,0.5386,0.0,0.5484,0.5446,0.0,0.5667,0.0,0.5569,0.5569,0.3203,0.9638,0.4626,0.5745,0.9354,0.5754,0.6049,0.6773,0.5579,0.6743,0.6915,0.9311,0.4672,0.9638,0.9545,0.9638,0.5667,0.6909,0.945,0.3433,0.6789,0.9354,0.4626,0.5323,0.9503,0.5446,0.4135,0.0,0.5667,0.5446,0.5715,0.3229,0.9638,0.945,0.9252,0.0,0.5446,0.4672,0.945,0.0,0.6903,0.5652,0.2282,0.0,0.9513,0.9354,0.4161,0.5717,0.9638,0.0,0.9513,0.5446,0.9513,0.6987,0.5389,0.937,0.4661,0.0,0.0,0.5762,0.9716,0.5779,0.4648,0.5779,0.45,0.9513,0.4612,0.767,0.9545,0.5676,0.9143,0.9503,0.4661,0.937,0.9429,0.9576,0.7302,0.5579,0.4669,0.4921,0.0,0.4664,0.9354,0.0,0.9354,0.0,0.0,0.3229,0.3229,0.0,0.571,0.5769,0.5276,0.9252,0.4132,0.5446,0.5224,0.5667,0.5667,0.945,0.58,0.5446,0.9354
0.5404,0.9252,0.4743,0.5165,0.4709,0.4472,0.945,0.945,0.0,0.9354,0.9513,0.0,0.5484,0.0,0.4743,0.9638,0.6588,0.945,0.945,0.3133,0.319,0.331,0.509,0.937,0.9354,0.2474,0.5649,0.5392,0.9354,0.3263,0.331,0.9311,0.945,0.4231,0.5048,0.4519,0.6669,0.3945,0.5464,0.3337,0.332,0.5248,0.9513,0.945,0.5286,0.6325,0.5404,0.4441,0.6588,0.4743,0.3324,0.4757,0.4441,0.945,0.9252,0.9487,0.4743,0.945,0.945,0.9354,0.0,0.3246,0.7521,0.5632,0.9513,0.538,0.5432,0.3709,0.4231,0.5943,0.4472,0.6325,0.9513,0.0,0.4574,0.5549,0.5632,0.9638,0.9513,0.5404,0.3595,0.6834,0.7647,0.9343,0.945,0.9513,0.9576,0.7705,0.5194,0.6914,0.5747,0.9503,0.9354,0.937,0.9429,0.3894,0.7257,0.5382,0.5486,0.6159,0.509,0.5622,0.5632,0.9487,0.5632,0.9487,0.9513,0.4757,0.4757,0.509,0.9354,0.5649,0.0,0.5714,0.5649,0.4743,0.945,0.5404,0.5404,0.945,0.6854,0.4743,0.9354
0.5109,0.8967,0.4713,0.7497,0.9638,0.9487,0.9311,0.9311,0.461,0.9127,0.9487,0.461,0.5446,0.4743,0.0,0.0,0.5109,0.9311,0.9311,0.4997,0.508,0.9659,0.9487,0.916,0.9127,0.5323,0.5269,0.3157,0.9127,0.5054,0.4757,0.9061,0.9311,0.9659,0.9487,0.9659,0.5109,0.6719,0.9311,0.5194,0.8883,0.9127,0.9487,0.9311,0.9386,0.4713,0.5109,0.9747,0.5109,0.4713,0.5267,0.4997,0.9747,0.9311,0.5024,0.9576,0.4713,0.9311,0.0,0.9127,0.6475,0.0,0.7227,0.9127,0.9487,0.9127,0.9503,0.5236,0.9659,0.9127,0.9487,0.4713,0.9487,0.4819,0.4563,0.916,0.9127,0.9659,0.9487,0.5109,0.9726,0.3892,0.9397,0.9127,0.9311,0.9487,0.9513,0.7355,0.9487,0.5418,0.882,0.5106,0.9127,0.4563,0.4977,0.9513,0.7552,0.9203,0.7399,0.5585,0.9487,0.5329,0.9127,0.9576,0.9127,0.9576,0.9487,0.4997,0.4997,0.9487,0.9127,0.5269,0.4588,0.8967,0.5269,0.4713,0.9311,0.5109,0.2062,0.9311,0.5401,0.4713,0.9127
0.9513,0.4563,0.9659,0.7634,0.9726,0.9659,0.0,0.5088,0.9576,0.9354,0.9659,0.9638,0.0,0.9638,0.0,0.0,0.5241,0.0,0.9513,0.4626,0.9482,0.9757,0.9659,0.4661,0.9354,0.4775,0.4607,0.4535,0.5367,0.5887,0.9576,0.4612,0.4503,0.9757,0.9638,0.9757,0.4626,0.3714,0.9513,0.0,0.5174,0.9354,0.9659,0.9513,0.9545,0.9659,0.9513,0.0,0.9513,0.9659,0.4709,0.0,0.9834,0.9513,0.4358,0.0,0.9659,0.4856,0.2947,0.0,0.39,0.0,0.0,0.53,0.4563,0.9354,0.0,0.4607,0.9757,0.0,0.9659,0.9659,0.9659,0.9649,0.9818,0.533,0.4519,0.4685,0.9659,0.9513,0.9788,0.6485,0.4511,0.5625,0.9513,0.9659,0.9638,0.7641,0.9638,0.9044,0.9066,0.5286,0.4519,0.4661,0.52,0.9638,0.4536,0.937,0.5968,0.622,0.9659,0.5474,0.5487,0.0,0.5248,0.9747,0.5119,0.0,0.0,0.9659,0.9354,0.5248,0.6623,0.4563,0.53,0.9659,0.4847,0.9513,0.4626,0.5241,0.4709,0.9659,0.4607
0.5404,0.453,0.5109,0.5245,0.0,0.0,0.9257,0.5161,0.5276,0.916,0.9311,0.5251,0.5667,0.6588,0.5109,0.5241,0.0,0.9257,0.9257,0.458,0.6329,0.0,0.4472,0.4629,0.916,0.6083,0.4361,0.369,0.916,0.556,0.6789,0.458,0.9257,0.0,0.0,0.0,0.333,0.6947,0.9257,0.6688,0.5477,0.4563,0.9311,0.9257,0.9354,0.5109,0.5404,0.9487,0.3504,0.5109,0.5861,0.5353,0.0,0.9257,0.5574,0.922,0.5109,0.4563,0.5353,0.916,0.6552,0.5505,0.7321,0.6506,0.4472,0.5401,0.472,0.4108,0.0,0.5401,0.0,0.5109,0.9311,0.6742,0.5337,0.6723,0.5401,0.4626,0.9311,0.5404,0.0,0.4537,0.5551,0.9187,0.9257,0.9311,0.945,0.6508,0.4519,0.4645,0.8944,0.9354,0.916,0.9203,0.9257,0.4563,0.4689,0.9252,0.5599,0.6164,0.9311,0.3747,0.6438,0.922,0.6506,0.922,0.4997,0.5353,0.5353,0.9311,0.916,0.4207,0.5196,0.6495,0.4207,0.5109,0.5161,0.5404,0.5404,0.5161,0.4367,0.5109,0.4563
0.9257,0.5532,0.9311,0.9268,0.9545,0.9311,0.3063,0.0,0.9354,0.916,0.5109,0.9386,0.0,0.945,0.9311,0.0,0.9257,0.0,0.5161,0.9257,0.9257,0.9513,0.9311,0.9203,0.6465,0.937,0.916,0.5377,0.678,0.5401,0.9429,0.5484,0.2847,0.9513,0.9386,0.9513,0.9257,0.4631,0.9257,0.0,0.519,0.6211,0.9311,0.4563,0.533,0.9311,0.9257,0.0,0.9257,0.9311,0.9279,0.0,0.9487,0.5353,0.4432,0.0,0.9311,0.4563,0.5161,0.3229,0.5229,0.9257,0.0,0.0,0.9311,0.5181,0.0,0.916,0.4626,0.0,0.4997,0.9311,0.9311,0.9503,0.9638,0.9203,0.4108,0.9513,0.9311,0.9257,0.9649,0.905,0.4519,0.7212,0.9257,0.9311,0.945,0.9072,0.9386,0.8944,0.661,0.4693,0.4108,0.9203,0.9257,0.4757,0.9284,0.9252,0.3322,0.5477,0.9311,0.905,0.916,0.0,0.4563,0.922,0.9311,0.0,0.0,0.9311,0.346,0.916,0.945,0.905,0.0,0.9311,0.5142,0.9257,0.9257,0.5353,0.9279,0.9311,0.5506
0.3063,0.5532,0.0,0.5824,0.464,0.4472,0.5353,0.9257,0.5041,0.6471,0.9311,0.9386,0.5569,0.945,0.9311,0.9513,0.9257,0.5161,0.0,0.9257,0.5877,0.9513,0.4971,0.4334,0.6438,0.937,0.4563,0.5377,0.5422,0.916,0.5734,0.6542,0.5353,0.9513,0.4519,0.9513,0.9257,0.7547,0.9257,0.545,0.5474,0.5506,0.5809,0.458,0.9354,0.9311,0.5142,0.9487,0.4563,0.9311,0.5165,0.5142,0.0,0.0,0.5174,0.922,0.9311,0.9257,0.5161,0.5401,0.9354,0.5142,0.7423,0.916,0.4472,0.916,0.9487,0.4563,0.4626,0.916,0.4997,0.9311,0.9311,0.5559,0.9638,0.5106,0.916,0.9513,0.9311,0.9257,0.4725,0.905,0.9284,0.3737,0.9257,0.9311,0.5279,0.7185,0.9386,0.8944,0.5517,0.4693,0.916,0.9203,0.4629,0.4757,0.7806,0.5586,0.6158,0.571,0.9311,0.5422,0.916,0.922,0.4563,0.922,0.9311,0.9257,0.9257,0.9311,0.4207,0.916,0.945,0.905,0.916,0.9311,0.9257,0.9257,0.9257,0.5353,0.9279,0.9311,0.5506
0.5353,0.0,0.4997,0.5727,0.5386,0.4971,0.9257,0.4563,0.4661,0.916,0.9311,0.4656,0.5569,0.3133,0.4997,0.4626,0.458,0.9257,0.9257,0.0,0.3243,0.509,0.5109,0.0,0.916,0.0,0.3735,0.3237,0.916,0.0,0.3314,0.0,0.9257,0.509,0.5251,0.509,0.306,0.4604,0.9257,0.3675,0.5623,0.5422,0.9311,0.9257,0.9354,0.4997,0.5353,0.9487,0.6197,0.4997,0.0,0.5161,0.4927,0.9257,0.551,0.922,0.4997,0.0,0.5142,0.916,0.3198,0.5267,0.7341,0.4361,0.0,0.5536,0.5705,0.3229,0.509,0.5536,0.4971,0.4997,0.9311,0.3301,0.5193,0.4295,0.5536,0.0,0.9311,0.5353,0.5333,0.382,0.2683,0.9187,0.9257,0.9311,0.945,0.6579,0.5324,0.6726,0.8944,0.9354,0.916,0.9203,0.9257,0.5464,0.2845,0.9252,0.2772,0.5051,0.9311,0.3608,0.4179,0.922,0.4361,0.922,0.4472,0.5161,0.5161,0.9311,0.916,0.4099,0.5034,0.4153,0.4099,0.4997,0.4563,0.5353,0.5353,0.4563,0.3366,0.4997,0.0
